,layer,alpha,success_rate,intervs
0,0,0.25,0.0625,0
1,0,0.5,0.2,0
2,0,1.0,0.39375,0
3,0,2.0,0.5625,0
4,0,4.0,0.63125,0
5,0,0.25,0.11875,1
6,0,0.5,0.3125,1
7,0,1.0,0.4875,1
8,0,2.0,0.7,1
9,0,4.0,0.71875,1
10,0,0.25,0.25625,2
11,0,0.5,0.49375,2
12,0,1.0,0.7125,2
13,0,2.0,0.825,2
14,0,4.0,0.75625,2
15,0,0.25,0.3125,3
16,0,0.5,0.6625,3
17,0,1.0,0.7875,3
18,0,2.0,0.8375,3
19,0,4.0,0.8,3
20,1,0.25,0.08125,0
21,1,0.5,0.25625,0
22,1,1.0,0.625,0
23,1,2.0,0.725,0
24,1,4.0,0.66875,0
25,1,0.25,0.11875,1
26,1,0.5,0.31875,1
27,1,1.0,0.61875,1
28,1,2.0,0.54375,1
29,1,4.0,0.45,1
30,1,0.25,0.175,2
31,1,0.5,0.43125,2
32,1,1.0,0.6375,2
33,1,2.0,0.5625,2
34,1,4.0,0.4875,2
35,1,0.25,0.23125,3
36,1,0.5,0.5875,3
37,1,1.0,0.71875,3
38,1,2.0,0.60625,3
39,1,4.0,0.41875,3
40,2,0.25,0.31875,0
41,2,0.5,0.7125,0
42,2,1.0,0.8875,0
43,2,2.0,0.8625,0
44,2,4.0,0.7625,0
45,2,0.25,0.3375,1
46,2,0.5,0.74375,1
47,2,1.0,0.8125,1
48,2,2.0,0.66875,1
49,2,4.0,0.5375,1
50,2,0.25,0.43125,2
51,2,0.5,0.81875,2
52,2,1.0,0.775,2
53,2,2.0,0.61875,2
54,2,4.0,0.475,2
55,2,0.25,0.51875,3
56,2,0.5,0.86875,3
57,2,1.0,0.69375,3
58,2,2.0,0.48125,3
59,2,4.0,0.36875,3
