,success_Rate,agent,thinking_steps
0,0.135,21m,0
1,0.184,22m,0
2,0.147,23m,0
3,0.18,24m,0
4,0.184,25m,0
5,0.143,26m,0
6,0.211,27m,0
7,0.237,28m,0
8,0.267,29m,0
9,0.209,30m,0
10,0.217,31m,0
11,0.22,32m,0
12,0.273,33m,0
13,0.249,34m,0
14,0.265,35m,0
15,0.28,36m,0
16,0.29,37m,0
17,0.285,38m,0
18,0.29,39m,0
19,0.278,40m,0
20,0.278,41m,0
21,0.303,42m,0
22,0.322,43m,0
23,0.324,44m,0
24,0.34,45m,0
25,0.286,46m,0
26,0.353,47m,0
27,0.359,48m,0
28,0.34,49m,0
29,0.353,50m,0
30,0.139,21m,5
31,0.196,22m,5
32,0.157,23m,5
33,0.204,24m,5
34,0.204,25m,5
35,0.153,26m,5
36,0.256,27m,5
37,0.262,28m,5
38,0.301,29m,5
39,0.228,30m,5
40,0.249,31m,5
41,0.253,32m,5
42,0.301,33m,5
43,0.271,34m,5
44,0.304,35m,5
45,0.318,36m,5
46,0.332,37m,5
47,0.342,38m,5
48,0.328,39m,5
49,0.307,40m,5
50,0.307,41m,5
51,0.346,42m,5
52,0.365,43m,5
53,0.36,44m,5
54,0.372,45m,5
55,0.327,46m,5
56,0.381,47m,5
57,0.411,48m,5
58,0.391,49m,5
59,0.389,50m,5
